model,status,accuracy,kappa,neg_f1,neu_f1,pos_f1
Naive Bayes + TF-IDF,classical_ml,0.6417910447761194,0.3727325921591573,0.5564516129032258,0.7384615384615385,0.4158415841584158
Naive Bayes + BoW,baseline_not_selected,0.6119402985074627,0.3220251029740862,0.5427509293680297,0.701123595505618,0.3777777777777777
SVM + TF-IDF,baseline_not_selected,0.6766169154228856,0.3571244049156733,0.5502183406113537,0.7659574468085106,0.3793103448275862
SVM + BoW,classical_ml,0.6840796019900498,0.3664892230949633,0.5560538116591929,0.7724665391969407,0.3793103448275862
Logistic Regression + TF-IDF,classical_ml,0.6691542288557214,0.3648836463418979,0.5714285714285714,0.7540322580645161,0.3809523809523809
Naive Bayes (tuned),tuned_underperformed,0.6144278606965174,0.3373532414497192,0.5206611570247934,0.7171492204899778,0.4070796460176991
SVM (tuned),tuned_underperformed,0.6343283582089553,0.3357612544258977,0.549800796812749,0.723404255319149,0.3855421686746988
Logistic Regression (tuned),tuned_underperformed,0.6442786069651741,0.3426640595519878,0.555984555984556,0.729957805907173,0.3943661971830985
XLM-R Zero-Shot (cardiffnlp),transformer_zero_shot,0.4825870646766169,0.1685212255004325,0.5298701298701298,0.4943820224719101,0.1269841269841269
XLM-R Fine-Tuned (3 epochs),transformer_finetuned,0.669,0.373,0.55,0.77,0.38
XLM-R Fine-Tuned (6 epochs),transformer_finetuned,0.679,0.363,0.54,0.77,0.37
XLM-R Fine-Tuned (6.5 epochs),transformer_finetuned,0.687,0.376,0.57,0.77,0.39
XLM-R Fine-Tuned (7 epochs),transformer_finetuned,0.687,0.376,0.57,0.77,0.39
XLM-R Fine-Tuned (9 epochs),transformer_finetuned,0.687,0.376,0.56,0.78,0.38
Malay BERT Fine-Tuned (6 epochs),transformer_finetuned,0.694,0.379,0.55,0.78,0.39
Ensemble (XLMR 0.7 / MalayBERT 0.3),ensemble,0.679,0.361,0.54,0.77,0.37
Ensemble (XLMR 0.5 / MalayBERT 0.5),ensemble,0.692,0.375,0.55,0.78,0.39
Ensemble (XLMR 0.3 / MalayBERT 0.7),ensemble_best,0.709,0.405,0.58,0.79,0.42
